,TCUID,Company,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
548,42751,PICC Property and Casualty Company Limited,CNE100000593,Financials,30639.956,114364.746,1451961.048,0.513,1.916,24.326,Estimate used instead of disclosure - data does not cover global operations,59687.607
560,42752,China Petroleum & Chemical Corporation,CNE1000002Q2,Energy,128580000.0,42360000.0,45338032.353,421.366,138.817,148.576,Value derived from data provided in Environmental/CSR,305150.22121037205
568,42753,"Baoshan Iron & Steel Co., Ltd.",CNE0000015R4,Materials,90412748.991,8788242.63,23005131.081,2193.743,213.235,558.188,Derived from previous year,41213.92248222324
583,42754,Aluminum Corporation of China Limited,CNE1000001T8,Materials,61012300.0,28027700.0,5310352.898,2263.91,1039.99,197.045,Value derived from data provided in Environmental/CSR,26949.961997592276
611,42757,"Huaneng Power International, Inc.",CNE1000006Z4,Utilities,333288800.0,113700.0,19000372.925,13575.261,4.631,773.908,Value derived from data provided in Environmental/CSR,24551.188243942834
622,42758,"Shanghai Pudong Development Bank Co., Ltd.",CNE0000011B7,Financials,12412.419,16709.3,375342.796,0.738,0.993,22.309,Estimated data,16824.9750933372
636,42759,PetroChina Company Limited,CNE1000003W8,Energy,127570000.0,39870000.0,42724573.096,455.271,142.288,152.475,Value derived from data provided in Environmental/CSR,280206.54634395865
5108,43361,CITIC Limited,HK0267001375,Industrials,35790672.695,3532588.299,11512479.875,503.734,49.719,162.032,Estimate used instead of disclosure - data does not cover global operations,71050.75199320403
13137,44111,"China Merchants Bank Co., Ltd.",CNE000001B33,Financials,85853.236,314954.489,771463.999,2.626,9.634,23.599,Estimate used instead of disclosure - data does not cover global operations,32690.29912147948
26499,47505,"Guangzhou Automobile Group Co., Ltd.",CNE100000Q35,Consumer Discretionary,353775.5,1174794.561,2494048.158,38.659,128.375,272.537,Value derived from data provided in Environmental/CSR,9151.241434419388
26540,47509,Sinopec Shanghai Petrochemical Company Limited,CNE1000004C8,Materials,9000430.296,1577061.22,4609522.804,831.484,145.693,425.84,Value split from data provided in Environmental/CSR,10824.537771965832
26806,47536,Maanshan Iron & Steel Company Limited,CNE1000003R8,Materials,28980829.001,4839386.381,6909978.85,2450.681,409.229,584.323,Derived from previous year,11825.624675816309
26822,47537,"China International Marine Containers (Group) Co., Ltd.",CNE000000644,Industrials,180957.98,706338.02,4663850.631,13.263,51.772,341.841,Value derived from data provided in Environmental/CSR,13643.344480292377
26965,47553,"Datang International Power Generation Co., Ltd.",CNE1000002Z3,Utilities,235660769.898,78843.51,9801753.253,17010.037,5.691,707.492,Exact Value from Environmental/CSR,13854.218347099071
26993,47556,"Zhejiang Expressway Co., Ltd.",CNE1000004S4,Industrials,3200.162,26706.39,102164.04,1.849,15.433,59.038,Derived from previous year,1730.469201814305
27041,47560,China Eastern Airlines Corporation Limited,CNE000000TR0,Industrials,11220570.892,22536.027,1111901.997,1320.595,2.652,130.864,Derived from previous year,8496.600526957547
27074,47563,Angang Steel Company Limited,CNE1000001V4,Materials,37550681.253,1939474.293,8543097.093,2568.355,132.654,584.323,Estimated data,14620.5165
27096,47566,Yankuang Energy Group Company Limited,CNE1000004Q8,Energy,7726169.587,2192289.609,2412934.153,771.406,218.885,240.915,Value derived from data provided in Environmental/CSR,10015.700474507195
27167,47593,Jiangxi Copper Company Limited,CNE1000003K3,Materials,2046552.485,1922007.38,15778987.012,44.337,41.639,341.842,Value derived from data provided in Environmental/CSR,46158.76659751318
27216,47598,"COSCO SHIPPING Energy Transportation Co., Ltd.",CNE1000002S8,Energy,3183180.704,2513.437,263233.587,1340.792,1.059,110.877,Exact Value from Environmental/CSR,2374.104157357651
27321,47611,China Southern Airlines Company Limited,CNE1000002T6,Industrials,19817417.678,98130.826,1752370.497,1477.612,7.317,130.659,Value derived from fuel use provided in Environmental/CSR,13411.787443800444
27371,47615,China Life Insurance Company Limited,CNE1000002L3,Financials,61770.86,1433472.326,2837293.348,0.53,12.29,24.326,Value derived from data provided in Environmental/CSR,116636.22147640532
27400,47617,Semiconductor Manufacturing International Corporation,KYG8020E1199,Information Technology,550105.0,1579152.0,84929.197,971.732,2789.489,150.023,Value derived from data provided in Environmental/CSR,566.107953114619
27416,47618,"COSCO SHIPPING Development Co., Ltd.",CNE100000536,Industrials,9477.89,63840.32,776684.013,3.446,23.21,282.376,Value derived from data provided in Environmental/CSR,2750.527319876761
27432,47619,"Ping An Insurance (Group) Company of China, Ltd.",CNE1000003X6,Financials,2114.51,478321.762,4363471.461,0.012,2.653,24.2,Value derived from data provided in Environmental/CSR,180306.02966872248
27476,47625,CPMC Holdings Limited,HK0000057171,Materials,84259.265,42785.427,639568.866,79.174,40.203,600.969,Estimated data,1064.229963116509
27492,47626,Air China Limited,CNE1000001S0,Industrials,15198640.209,191553.982,1296369.608,1509.169,19.021,128.725,Exact Value from Environmental/CSR,10070.865563565334
34400,48938,FIH Mobile Limited,KYG3472Y1017,Information Technology,96408.525,159311.425,1116462.129,10.79,17.831,124.957,Estimated data,8934.74625
36167,49349,Sohu.com Limited,US83410S1087,Communication Services,2349.738,6213.163,33239.649,3.133,8.285,44.326,Estimated data,749.89
37507,49778,China Construction Bank Corporation,CNE1000002H1,Financials,18615.57,332461.31,1965226.356,0.228,4.08,24.118,Value derived from data provided in Environmental/CSR,81485.14676167851
39614,51359,Bank of China Limited,CNE1000001Z5,Financials,44178.725,120753.243,1509895.848,0.68,1.858,23.227,Derived from previous year,65005.170781426714
40673,51620,Industrial and Commercial Bank of China Limited,CNE1000003G1,Financials,56544.52,221922.242,2063917.339,0.653,2.564,23.843,Derived from previous year,86562.32864206839
40776,51628,Shui On Land Limited,KYG811511131,Real Estate,15983.77,90328.178,84113.818,23.996,135.61,126.28,Value derived from data provided in Annual Report/Financial Accounts Disclosure,666.090328314848
41375,51827,"Bank of Communications Co., Ltd.",CNE100000205,Financials,18787.926,101742.864,607326.219,0.702,3.802,22.698,Estimate based on partial data disclosure in Environmental/CSR,26757.35508364572
41440,51832,TravelSky Technology Limited,CNE1000004J3,Information Technology,605.1,34122.8,26702.816,0.761,42.93,33.595,Value derived from data provided in Environmental/CSR,794.842276064332
41607,51848,Zijin Mining Group Company Limited,CNE100000502,Materials,776506.701,2569404.186,7091360.669,31.248,103.397,285.367,Derived from previous year,24849.98491838216
41704,51859,China Communications Construction Company Limited,CNE1000002F5,Industrials,2520072.805,1427556.822,15790064.577,27.85,15.776,174.5,Value derived from fuel use provided in Environmental/CSR,90487.29157736653
41726,51861,Sinopec Oilfield Service Corporation,CNE1000004D6,Energy,2514860.187,341239.813,2326200.954,254.963,34.596,235.837,Value split from data provided in Environmental/CSR,9863.613086570807
41742,51863,Beijing Capital International Airport Company Limited,CNE100000221,Industrials,2500.703,353879.119,40541.085,4.811,680.845,77.999,Value derived from data provided in Environmental/CSR,519.7643
41831,51871,Anhui Conch Cement Company Limited,CNE1000001W2,Materials,99680076.861,103180723.9,11173864.425,3903.36,4040.442,437.556,Value derived from fuel use provided in Environmental/CSR,25536.99063098589
42127,51894,Li Ning Company Limited,KYG5496K1242,Consumer Discretionary,5366.607,4160.085,609944.299,2.562,1.986,291.175,Value derived from data provided in Annual Report/Financial Accounts Disclosure,2094.768013884758
42141,51895,Nine Dragons Paper (Holdings) Limited,BMG653181005,Materials,12835972.728,710591.52,1942532.795,1757.597,97.299,265.986,Value derived from fuel use provided in Environmental/CSR,7303.138945015612
233,51924,Shenzhen Expressway Corporation Limited,CNE100000478,Industrials,4048.2,48915.865,68864.627,3.481,42.058,59.21,Value derived from data provided in Environmental/CSR,1163.048121848478
330,51931,"COSCO SHIPPING Holdings Co., Ltd.",CNE1000002J7,Industrials,21147901.0,414484.364,2720279.465,852.228,16.703,109.623,Value summed up from data provided in Environmental/CSR,24814.846652732347
651,51960,BYD Company Limited,CNE100000296,Consumer Discretionary,199406.48,3945773.38,5140815.405,8.788,173.895,226.563,Value derived from data provided in Environmental/CSR,22690.495086542065
695,51964,Weiqiao Textile Company Limited,CNE1000004M7,Consumer Discretionary,1292101.0,30952.0,1544559.306,699.763,16.763,836.487,Value derived from data provided in Environmental/CSR,1846.482517987727
711,51965,"Guangzhou R&F Properties Co., Ltd.",CNE100000569,Real Estate,253675.895,607776.0,2375889.614,20.383,48.835,190.904,Estimate used instead of disclosure - data does not cover global operations,12445.439767209851
806,51972,"Guangdong Electric Power Development Co., Ltd.",CNE000000HW5,Utilities,38790771.491,1695.548,3177099.953,9450.125,0.413,773.998,Estimated data,4104.789275978994
853,51976,Huadian Power International Corporation Limited,CNE1000003D8,Utilities,152623000.0,89000.0,8540351.803,11607.624,6.769,649.53,Value derived from data provided in Environmental/CSR,13148.512898685149
885,51979,Sinotrans Limited,CNE1000004F1,Industrials,132994.724,11879.667,920406.627,10.857,0.97,75.141,Value derived from fuel use provided in Environmental/CSR,12249.11302502595
1197,52055,Agile Group Holdings Limited,KYG011981035,Real Estate,18134.42,56722.31,2182357.252,1.56,4.878,187.693,Value summed up from data provided in Environmental/CSR,11627.275654509176
1257,52060,Beijing North Star Company Limited,CNE100000262,Real Estate,54191.362,42175.211,436208.023,20.782,16.174,167.286,Estimate used instead of disclosure - data does not cover global operations,2607.559163425735
1354,52070,China Oilfield Services Limited,CNE1000002P4,Energy,912231.524,111786.871,1285324.45,217.393,26.64,306.304,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,4196.238516417953
1386,52072,China Shenhua Energy Company Limited,CNE1000002R0,Energy,126680000.0,8220000.0,10925343.162,3748.034,243.202,323.244,Value derived from data provided in Environmental/CSR,33799.04915753469
1461,52081,Dongfeng Motor Group Company Limited,CNE100000312,Consumer Discretionary,319543.218,1842557.07,3914120.469,20.426,117.783,250.205,Value derived from fuel use provided in Environmental/CSR,15643.631978721824
1511,52091,GOME Retail Holdings Limited,BMG3978C1249,Consumer Discretionary,94864.544,354012.097,330354.802,14.839,55.377,51.677,Value derived from fuel use provided in Environmental/CSR,6392.715807491467
1559,52094,Guangshen Railway Company Limited,CNE100000379,Industrials,263521.202,6225.014,261226.487,111.239,2.628,110.27,Value derived from fuel use provided in Environmental/CSR,2368.969837484205
1671,52103,Hengan International Group Company Limited,KYG4402L1510,Consumer Staples,1988629.379,873804.992,773931.235,613.411,269.533,238.726,Value derived from data provided in Environmental/CSR,3241.919876399117
1883,52122,Jiangsu Expressway Company Limited,CNE1000003J5,Industrials,3209.227,33486.043,89065.035,2.757,28.771,76.524,Exact Value from Environmental/CSR,1163.878278875379
2234,52166,Shanghai Electric Group Company Limited,CNE100000437,Industrials,236918.591,235701.56,3984941.263,11.91,11.849,200.327,Estimated data,19892.15738326953
2291,52178,Tsingtao Brewery Company Limited,CNE1000004K1,Consumer Staples,264024.0,587383.0,1585717.293,65.64,146.032,394.232,Value derived from data provided in Environmental/CSR,4022.291578873787
2337,52188,ENN Energy Holdings Limited,KYG3066L1014,Utilities,125223.451,86340.85,2559638.174,12.067,8.32,246.663,Value derived from data provided in Environmental/CSR,10377.070052944047
2367,52191,ZTE Corporation,CNE000000TK5,Information Technology,310890.208,432528.586,1803973.377,21.149,29.424,122.72,Derived from previous year,14699.871674583708
3150,52262,"Shanghai Lujiazui Finance & Trade Zone Development Co., Ltd.",CNE0000009S5,Real Estate,26290.82,115172.133,65477.185,12.535,54.913,31.219,Estimated data,2097.340829435689
3166,52263,"Shanghai Zhenhua Heavy Industries Co., Ltd.",CNE000000SJ9,Industrials,42093.096,50096.991,1327961.723,12.823,15.261,404.539,Estimated data,3282.6563
3670,52427,Tencent Holdings Limited,KYG875721634,Communication Services,4089.79,926675.8,3086571.87,0.059,13.267,44.189,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,69849.50359555555
3686,52432,China CITIC Bank Corporation Limited,CNE1000001Q4,Financials,5939.02,142216.79,381648.14,0.365,8.738,23.45,Value derived from data provided in Environmental/CSR,16275.236882164165
3729,52437,Tingyi (Cayman Islands) Holding Corp.,KYG8878S1030,Consumer Staples,622229.482,399770.518,4185956.091,63.508,40.803,427.243,Value split from data provided in Annual Report/Financial Accounts Disclosure,9797.604070172998
4799,52654,"China Vanke Co., Ltd.",CNE0000000T2,Real Estate,1307194.365,738983.455,11812290.715,21.525,12.169,194.512,Estimate used instead of disclosure - data does not cover global operations,60727.91600410794
4867,52660,Dongfang Electric Corporation Limited,CNE100000304,Industrials,77443.548,177774.434,883845.14,14.747,33.853,168.308,Value derived from fuel use provided in Environmental/CSR,5251.347765670376
4996,52670,Harbin Electric Company Limited,CNE1000003C0,Industrials,99384.163,63969.068,587994.342,28.867,18.581,170.789,Value split from data provided in Environmental/CSR,3442.804532752885
5025,52672,"Inner Mongolia Yitai Coal Co., Ltd.",CNE000000SK7,Energy,14307524.316,641800.0,1183490.83,2922.202,131.083,241.719,Value derived from data provided in Annual Report/Financial Accounts Disclosure,4896.144948079625
5455,52710,Yantai Changyu Pioneer Wine Company Limited,CNE000000T59,Consumer Staples,24169.515,14429.117,187024.197,49.127,29.329,380.144,Estimated data,491.9827
5644,52724,"Weichai Power Co., Ltd.",CNE1000004L9,Industrials,377765.409,542158.681,10333216.718,13.201,18.946,361.102,Derived from previous year,28615.81617916645
5703,52728,Parkson Retail Group Limited,KYG693701156,Consumer Discretionary,4691.0,156443.218,33038.439,7.311,243.815,51.49,Value derived from data provided in Annual Report/Financial Accounts Disclosure,641.646247743451
5773,52734,China BlueChemical Ltd.,CNE1000002D0,Materials,1277945.091,140714.738,690909.584,846.624,93.222,457.719,Estimated data,1509.460749501327
5788,52735,China Coal Energy Company Limited,CNE100000528,Energy,51188760.354,1228172.161,5677897.096,2506.202,60.131,277.99,Estimated data,20424.83429613228
5803,52736,China Communications Services Corporation Limited,CNE1000002G3,Industrials,352765.151,208191.628,889728.169,19.85,11.715,50.065,Exact Value from Annual Report/10K/Financial Accounts Disclosure,17771.43256483583
5818,52737,China National Building Material Company Limited,CNE1000002N9,Materials,239033524.0,15722727.0,17043886.273,6475.389,425.927,461.717,Value derived from data provided in Environmental/CSR,36914.15699649674
5972,52754,Country Garden Holdings Company Limited,KYG245241032,Real Estate,863510.274,3679661.097,2294006.274,12.875,54.866,34.205,Estimate used instead of disclosure - data does not cover global operations,67066.32896581427
6559,52855,KWG Group Holdings Limited,KYG532241042,Real Estate,96258.377,62388.944,707260.636,22.336,14.477,164.116,Estimate used instead of disclosure - data does not cover global operations,4309.52806361342
6597,52862,CMOC Group Limited,CNE100000114,Materials,530000.0,500000.0,1392122.107,32.375,30.543,85.038,Value derived from data provided in Environmental/CSR,16370.581692202755
6801,52993,"China High Speed Transmission Equipment Group Co., Ltd.",KYG2112D1051,Industrials,13617.64,241318.01,627695.582,6.115,108.368,281.876,Value derived from data provided in Environmental/CSR,2226.847227010941
7194,53114,Fosun International Limited,HK0656038673,Industrials,19602119.6,2528344.6,843001.418,990.148,127.712,42.582,Value derived from data provided in Environmental/CSR,19797.16689976723
8384,53427,China Railway Construction Corporation Limited,CNE1000009T1,Industrials,6312649.239,1118871.91,22092365.692,47.858,8.483,167.489,Value derived from fuel use provided in Environmental/CSR,131903.09333867708
10086,54130,"Baidu, Inc.",US0567521085,Communication Services,5974.1,468245.5,687703.973,0.385,30.181,44.326,Value derived from data provided in Environmental/CSR,15514.6743
11624,54630,Hidili Industry International Development Limited,KYG444031069,Energy,510558.73,13446.94,44045.359,2612.872,68.817,225.41,Estimated data,195.40137825349
11682,54634,Sino-Ocean Group Holding Limited,HK3377040226,Real Estate,13524.11,79007.75,1473899.418,1.652,9.649,180.003,Value derived from data provided in Environmental/CSR,8188.205661435193
11698,54635,SOHO China Limited,KYG826001003,Real Estate,3239.13,195251.62,57991.845,10.2,614.847,182.616,Value derived from data provided in Annual Report/Financial Accounts Disclosure,317.56109043705
13309,56243,BOE Technology Group Company Limited,CNE0000016L5,Information Technology,8839450.347,5848576.84,3119502.368,450.048,297.772,158.825,Derived from previous year,19641.13461401808
13370,56254,Chongqing Changan Automobile Company Limited,CNE000000N14,Consumer Discretionary,150546.063,84648.564,3269881.65,12.286,6.908,266.858,Estimated data,12253.271931008248
13395,56260,"CSG Holding Co., Ltd.",CNE0000002M3,Materials,305120.237,177985.828,311216.22,197.332,115.11,201.274,Estimated data,1546.229848624735
13416,56264,"Dazhong Transportation (Group) Co., Ltd.",CNE000000511,Industrials,8651.364,12338.921,26346.658,22.627,32.271,68.907,Estimated data,382.349488447795
13555,56294,Great Wall Motor Company Limited,CNE100000338,Consumer Discretionary,128438.31,1142275.33,4453380.028,8.58,76.31,297.508,Value derived from data provided in Environmental/CSR,14968.936015485488
14138,56424,"Shanghai Mechanical & Electrical Industry Co.,Ltd.",CNE000000B91,Industrials,43550.209,52685.961,1347247.482,12.848,15.543,397.45,Estimate used instead of disclosure - data does not cover global operations,3389.729623685452
14336,56479,ANTA Sports Products Limited,KYG040111059,Consumer Discretionary,2713.0,90552.0,1457913.286,0.527,17.598,283.333,Value derived from data provided in Environmental/CSR,5145.573503323478
14370,56484,China Yurun Food Group Limited,BMG211591018,Consumer Staples,76154.0,62591.309,4000001.819,38.826,31.911,2039.354,Value derived from data provided in Environmental/CSR,1961.405984143835
14561,56516,"Bengang Steel Plates Co., Ltd.",CNE000000RN3,Materials,18117866.964,935778.954,4121967.736,2568.355,132.654,584.323,Estimated data,7054.268100000001
14671,56533,"China Dongxiang (Group) Co., Ltd.",KYG2112Y1098,Consumer Discretionary,6738.174,8534.554,60485.825,25.485,32.28,228.772,Estimate used instead of disclosure - data does not cover global operations,264.393305871232
15171,67926,Golden Eagle Retail Group Limited,KYG3958R1092,Consumer Discretionary,64652.187,220020.813,65033.281,66.532,226.42,66.925,Value split from data provided in Annual Report/Financial Accounts Disclosure,971.738489855614
15228,67935,Shandong Chenming Paper Holdings Limited,CNE0000015H5,Materials,38790844.517,1315801.071,1095530.72,8709.955,295.445,245.986,Derived from previous year,4453.621644127885
15244,67936,Shandong Weigao Group Medical Polymer Company Limited,CNE100000171,Health Care,2478.28,93645.66,195545.725,1.508,56.966,118.953,Value derived from data provided in Environmental/CSR,1643.89009983561
15258,67937,Sinotruk (Hong Kong) Limited,HK3808041546,Industrials,127109.0,643517.0,4137220.496,8.933,45.227,290.769,Value derived from data provided in Environmental/CSR,14228.568211552429
16659,84138,"NetEase, Inc.",US64110W1027,Communication Services,41320.163,87671.679,484925.551,3.871,8.213,45.43,Estimate used instead of disclosure - data does not cover global operations,10674.127215077788
16873,84162,Greentown China Holdings Limited,KYG4100M1050,Real Estate,4987.289,28224.218,322082.972,0.523,2.961,33.791,Exact Value from Annual Report/10K/Financial Accounts Disclosure,9531.674411902864
16907,84165,AAC Technologies Holdings Inc.,KYG2953R1149,Information Technology,6052.998,735613.0,329797.993,2.437,296.193,132.792,Value derived from data provided in Environmental/CSR,2483.56192521068
16922,84167,"Liaoning Port Co., Ltd.",CNE1000002Y6,Industrials,168485.88,205372.22,75241.233,174.661,212.9,77.999,Value derived from data provided in Annual Report/Financial Accounts Disclosure,964.643818927712
16938,84168,Trip.com Group Limited,US89677Q1076,Consumer Discretionary,19260.527,23863.658,137947.001,7.257,8.992,51.978,Estimate used instead of disclosure - data does not cover global operations,2653.928720080301
17375,84222,Anhui Expressway Company Limited,CNE1000001X0,Industrials,1448.5,15164.5,30633.64,3.683,38.558,77.891,Value derived from data provided in Environmental/CSR,393.288738165067
17636,84256,Zhaojin Mining Industry Company Limited,CNE1000004R6,Materials,99497.934,678809.148,207993.149,89.779,612.503,187.676,Derived from previous year,1108.255201193028
17789,84269,Lonking Holdings Limited,KYG5636C1078,Industrials,25372.902,239107.41,754934.752,13.595,128.116,404.501,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,1866.334972147571
17809,84272,Shanghai Jin Jiang Capital Company Limited,CNE1000003Z1,Consumer Discretionary,31275.61,122691.94,151452.239,15.199,59.626,73.603,Value derived from data provided in Annual Report/Financial Accounts Disclosure,2057.687633238963
17978,84287,Yangzijiang Shipbuilding (Holdings) Ltd.,SG1U76934819,Industrials,47015.006,42009.556,347772.293,21.863,19.535,161.721,Estimated data,2150.451107583082
18297,84336,BYD Electronic (International) Company Limited,HK0285041858,Information Technology,26845.225,1237576.948,1348394.282,2.534,116.808,127.267,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,10595.005580944837
18428,84348,New Oriental Education & Technology Group Inc.,US6475812060,Consumer Discretionary,66281.238,37373.794,205062.257,18.521,10.443,57.301,Estimated data,3578.681796875
18498,84353,Uni-President China Holdings Ltd,KYG9222R1065,Consumer Staples,106603.0,421692.34,1413843.019,32.322,127.859,428.682,Value derived from data provided in Environmental/CSR,3298.113899670188
18526,85053,CRRC Corporation Limited,CNE100000CP9,Industrials,800194.14,391619.562,8270025.303,24.258,11.872,250.708,Estimated data,32986.618906649775
18591,85184,China Zhongwang Holdings Limited,KYG215AT1023,Materials,4291517.269,1565673.345,1573712.346,1451.74,529.638,532.357,Estimate used instead of disclosure - data does not cover global operations,2956.1195
18868,86236,Sinovac Biotech Ltd.,AGP8696W1045,Health Care,10034.852,11419.376,38334.323,19.652,22.364,75.073,Estimated data,510.624
19150,86637,Sichuan Expressway Company Limited,CNE100000494,Industrials,4233.5,15616.6,74900.544,5.352,19.743,94.692,Value derived from data provided in Environmental/CSR,790.994668035096
20816,94099,Metallurgical Corporation of China Ltd.,CNE100000FF3,Industrials,3002607.0,3425979.0,3751383.596,51.791,59.094,64.707,Value derived from data provided in Environmental/CSR,57975.30397202138
20883,94220,"Tongwei Co.,Ltd",CNE000001GS3,Consumer Staples,3325862.91,2740254.039,4298412.038,519.303,427.865,671.157,Value split from data provided in Environmental/CSR,6404.479516134574
20888,94224,Shandong Zhonglu Oceanic Fisheries Company Limited,CNE0000013V1,Consumer Staples,10179.292,3637.613,35862.03,72.71,25.983,256.159,Estimated data,139.999233242942
20911,94242,"CGN Nuclear Technology Development Co., Ltd.",CNE000000842,Materials,67935.057,30563.052,235762.35,70.486,31.711,244.616,Estimated data,963.806899903618
20916,94245,"Shanghai Dazhong Public Utilities(Group) Co.,Ltd.",CNE0000007Y7,Utilities,161841.91,1983145.819,149020.995,227.454,2787.134,209.436,Value derived from data provided in Environmental/CSR,711.53577850185
21015,95091,"China Pacific Insurance (Group) Co., Ltd.",CNE1000008M8,Financials,4254.94,102555.93,1478509.488,0.07,1.687,24.326,Value derived from data provided in Environmental/CSR,60778.967473626144
21402,104782,BBMG Corporation,CNE100000F20,Materials,41083714.589,2008555.217,3665492.389,2625.232,128.346,234.223,Estimated data,15649.55597907332
21439,104785,"China Minsheng Banking Corp., Ltd.",CNE0000015Y0,Financials,9829.84,69937.23,302410.138,0.738,5.249,22.695,Value derived from data provided in Environmental/CSR,13325.139176900004
21460,104789,China Longyuan Power Group Corporation Limited,CNE100000HD4,Utilities,9123673.841,10988.102,610620.347,2196.473,2.645,147.003,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,4153.783915152906
21674,104891,Samson Holding Ltd.,KYG7783W1006,Consumer Discretionary,457.89,8493.969,106853.055,1.152,21.364,268.757,Value derived from data provided in Annual Report/Financial Accounts Disclosure,397.582
21759,108731,Sinopharm Group Co. Ltd.,CNE100000FN7,Health Care,52946.47,155266.59,3331356.213,0.801,2.348,50.374,Value derived from data provided in Environmental/CSR,66132.99070848881
21851,108815,China Shineway Pharmaceutical Group Limited,KYG2110P1000,Health Care,100252.0,9055.694,34851.087,260.529,23.533,90.569,Value derived from data provided in Environmental/CSR,384.802388412164
21863,108816,Longfor Group Holdings Limited,KYG5635P1090,Real Estate,10775.66,538611.66,814179.223,0.403,20.142,30.448,Value derived from data provided in Environmental/CSR,26740.302194749693
22113,108992,Sany Heavy Equipment International Holdings Company Limited,KYG781631059,Industrials,6434.97,52395.43,407697.259,6.031,49.105,382.097,Value derived from data provided in Environmental/CSR,1066.999186096095
22249,109004,China Evergrande Group,KYG2119W1069,Real Estate,11954.23,224663.069,2237858.753,0.163,3.057,30.448,Derived from previous year,73498.5831753426
22711,109147,Agricultural Bank of China Limited,CNE100000Q43,Financials,50080.175,123101.387,1649606.927,0.699,1.718,23.016,Derived from previous year,71670.71074586669
22796,112870,China Shanshui Cement Group Limited,KYG2116M1015,Materials,38074110.1,1577201.357,1425239.413,12577.736,521.027,470.826,Exact Value from Environmental/CSR,3027.103644212093
23510,124224,AviChina Industry & Technology Company Limited,CNE1000001Y8,Industrials,116094.219,318211.7,1117626.226,15.987,43.82,153.905,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,7261.811811551986
23794,124252,China State Construction Engineering Corporation Limited,CNE100000F46,Industrials,4833607.141,4528763.085,34662685.619,20.655,19.353,148.124,Estimated data,234011.6201546948
24101,124307,Asia Cement (China) Holdings Corporation,KYG0539C1069,Materials,20504113.829,783040.352,767982.279,13073.88,499.284,489.683,Value split from data provided in Environmental/CSR,1568.326558487888
24131,124310,Minth Group Limited,KYG6145U1094,Consumer Discretionary,43342.447,308420.818,669676.572,23.994,170.737,370.723,Exact Value from CDP,1806.4072
24323,124330,"Lianhua Supermarket Holdings Co., Ltd.",CNE1000003P2,Consumer Staples,3220.81,360937.26,261636.446,0.844,94.603,68.576,Value derived from data provided in Annual Report/Financial Accounts Disclosure,3815.298585107119
24415,124342,Shirble Department Store Holdings (China) Limited,KYG810871015,Consumer Discretionary,928.828,3582.455,3826.658,12.281,47.366,50.594,Estimate used instead of disclosure - data does not cover global operations,75.634073646123
24471,124349,Kingdee International Software Group Company Limited,KYG525681477,Information Technology,3244.299,6474.609,19665.723,6.671,13.313,40.436,Value split from data provided in Environmental/CSR,486.33799257077
24492,124351,China Lilang Limited,KYG211411098,Consumer Discretionary,11279.258,5497.329,77731.876,29.037,14.152,200.111,Estimated data,388.444288302493
24504,124354,H World Group Limited,US44332N1063,Consumer Discretionary,30115.384,117580.986,103352.192,20.384,79.588,69.957,Estimated data,1477.367193277831
24516,124356,"Yonyou Network Technology Co.,Ltd.",CNE0000017Y6,Information Technology,18448.72,12292.496,44699.96,14.936,9.952,36.189,Value split from data provided in Environmental/CSR,1235.18516840333
24538,124358,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",CNE000001527,Industrials,118544.773,148885.51,2841375.392,12.566,15.782,301.182,Estimate used instead of disclosure - data does not cover global operations,9434.07371895966
24551,124359,"Xinjiang Goldwind Science & Technology Co., Ltd.",CNE1000008S5,Industrials,15331.366,127824.783,1389727.546,1.881,15.679,170.464,Value derived from data provided in Environmental/CSR,8152.630173835852
24586,124362,"Sany Heavy Industry Co., Ltd",CNE000001F70,Industrials,183472.329,209111.65,4394003.818,12.655,14.424,303.086,Estimated data,14497.539890986956
24634,124366,"Ping An Bank Co., Ltd.",CNE000000040,Financials,8688.738,17339.226,276443.244,0.714,1.426,22.731,Estimated data,12161.328551792029
24646,124367,"Bank Of Nanjing Co., Ltd.",CNE100000627,Financials,2757.118,3711.565,83373.291,0.738,0.993,22.309,Estimated data,3737.259787457158
24659,124369,Daphne International Holdings Limited,KYG2830J1031,Consumer Discretionary,507.941,2767.837,3121.628,10.826,58.991,66.532,Estimate used instead of disclosure - data does not cover global operations,46.919499611315
24676,124371,"China Datang Corporation Renewable Power Co., Limited",CNE100000X69,Utilities,4510.01,57692.21,60750.814,3.321,42.484,44.736,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1357.972421809241
25150,124519,China United Network Communications Limited,CNE000001CS2,Communication Services,200000.0,14030000.0,2204122.441,4.543,318.682,50.065,Value derived from data provided in Environmental/CSR,44025.1468742385
